path	options	metrics
combustion/PDRFoam/flamePropagationWithObstacles/epsilon/0	{'ksp_type': 'cg', 'pc_type': 'jacobi'}	{'iter': 3, 'mem': 27260310.0, 'norm': 4.547774e-09, 'time': 0.0003284324}
combustion/PDRFoam/flamePropagationWithObstacles/epsilon/0	{'ksp_type': 'cg', 'pc_type': 'lu'}	{'iter': 1, 'mem': 34887110.0, 'norm': 1.348819e-14, 'time': 0.01052983}
combustion/PDRFoam/flamePropagationWithObstacles/epsilon/0	{'ksp_type': 'cg', 'pc_type': 'ilu'}	{'iter': 2, 'mem': 27945660.0, 'norm': 6.436499e-13, 'time': 0.0005242172}
combustion/PDRFoam/flamePropagationWithObstacles/epsilon/0	{'ksp_type': 'bicg', 'pc_type': 'none'}	{'iter': 65, 'mem': 27154550.0, 'norm': 0.2255968, 'time': 0.005080068}
combustion/PDRFoam/flamePropagationWithObstacles/epsilon/0	{'ksp_type': 'bicg', 'pc_type': 'asm'}	{'iter': 2, 'mem': 30172450.0, 'norm': 6.436499e-13, 'time': 0.001641046}
combustion/PDRFoam/flamePropagationWithObstacles/epsilon/0	{'ksp_type': 'bicg', 'pc_type': 'gamg'}	{'iter': 3, 'mem': 31326620.0, 'norm': 2.447536e-08, 'time': 0.01306462}
combustion/PDRFoam/flamePropagationWithObstacles/epsilon/0	{'ksp_type': 'bicg', 'pc_type': 'jacobi'}	{'iter': 3, 'mem': 27385490.0, 'norm': 4.547773e-09, 'time': 0.0003828726}
combustion/PDRFoam/flamePropagationWithObstacles/epsilon/0	{'ksp_type': 'bicg', 'pc_type': 'lu'}	{'iter': 1, 'mem': 37450340.0, 'norm': 2.294788e-14, 'time': 0.01086614}
combustion/PDRFoam/flamePropagationWithObstacles/epsilon/0	{'ksp_type': 'bicg', 'pc_type': 'ilu'}	{'iter': 2, 'mem': 28030610.0, 'norm': 6.436499e-13, 'time': 0.0007097273}
combustion/PDRFoam/flamePropagationWithObstacles/epsilon/0	{'ksp_type': 'richardson', 'pc_type': 'none'}	{'iter': 1, 'mem': 27002220.0, 'norm': 164344100000.0, 'time': 6.568671e-05}
combustion/PDRFoam/flamePropagationWithObstacles/epsilon/0	{'ksp_type': 'richardson', 'pc_type': 'asm'}	{'iter': 2, 'mem': 29916410.0, 'norm': 4.19649e-12, 'time': 0.001371264}
combustion/PDRFoam/flamePropagationWithObstacles/epsilon/0	{'ksp_type': 'richardson', 'pc_type': 'gamg'}	{'iter': 5, 'mem': 31060250.0, 'norm': 0.0, 'time': 0.0120906}
combustion/PDRFoam/flamePropagationWithObstacles/epsilon/0	{'ksp_type': 'richardson', 'pc_type': 'jacobi'}	{'iter': 3, 'mem': 27595280.0, 'norm': 1.034425e-07, 'time': 0.0003133068}
